BIN	GENEID	HALFLIFE
3	ENSG00000037637	-1.77128621111338
5	ENSG00000037749	-0.747607594211351
1	ENSG00000037757	0.88042154344241
7	ENSG00000037897	-0.634666438471921
7	ENSG00000037965	-1.75305659246497
10	ENSG00000038002	1.34319955088238
10	ENSG00000038210	0.633586091861146
10	ENSG00000038219	-0.479333952359572
10	ENSG00000038274	-0.00487101628684018
7	ENSG00000038295	-0.156948472167195
8	ENSG00000038358	0.581800576269418
7	ENSG00000038382	-0.354569711785266
1	ENSG00000038427	0.453302113573686
4	ENSG00000038532	0.0714927194601712
4	ENSG00000039068	1.22567273831935
6	ENSG00000039123	-0.00694935210691274
9	ENSG00000039319	0.000435421573440898
5	ENSG00000039523	0.708091631917794
5	ENSG00000039560	0.516875257592769
4	ENSG00000039650	1.09481655564449
10	ENSG00000040199	-1.23452656512224
1	ENSG00000040275	-0.149821236832343
4	ENSG00000040341	0.52679612139927
2	ENSG00000040487	-0.619311605745264
10	ENSG00000040531	-0.165753720344856
1	ENSG00000040633	-2.03967703757699
4	ENSG00000040933	0.070084138875602
9	ENSG00000041353	0.242689868938755
8	ENSG00000041357	1.51038483439713
10	ENSG00000041515	0.0237929928155846
10	ENSG00000041802	-0.0621901902713151
9	ENSG00000041880	1.04325143889323
2	ENSG00000041982	0.669806824657338
2	ENSG00000041988	-1.36342813234243
3	ENSG00000042088	-0.273889259223874
4	ENSG00000042286	0.214648283569429
10	ENSG00000042317	-1.05379698051429
3	ENSG00000042429	-2.06462207168738
9	ENSG00000042445	1.12163260990649
1	ENSG00000042493	2.07552176560937
3	ENSG00000042753	1.40718921089516
8	ENSG00000043039	-0.167793419364711
10	ENSG00000043093	-0.531105492333327
8	ENSG00000043143	-1.25993856786636
3	ENSG00000043355	-2.00095145547857
1	ENSG00000043462	-0.437611794303525
4	ENSG00000043514	0.013370851746096
3	ENSG00000043591	-0.840486221477941
1	ENSG00000044090	0.480295996782529
4	ENSG00000044115	1.55260702146365
2	ENSG00000044446	0.714555184351211
4	ENSG00000044459	-0.531457607628702
8	ENSG00000044524	-0.472204077414952
